AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - % Correct,AVG_End Summary - Condition,AVG_End Summary - Incorrect Touches,AVG_End Summary - No Correction Trials,AVG_End Summary - Trials Completed,AVG_Incorrect Touch Latency
lw75x137,3_6       ,m,B6129SF2/J,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,30,3600,1/22/2015 12:51:03 PM,1.1544666666666665,8.835133333333335,100,960.923,80,,30,3.3360000000000003
lt88x150,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/25/2015 5:18:59 PM,1.7615555555555558,14.222611111111112,100,1654.996,123,,36,7.43170588235294
lw70x132,3_6       ,m,B6129SF2/J,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,30,3600,1/22/15 12:58:46 PM,1.7467333333333335,8.146433333333333,100,989.777,64,,30,4.182749999999999
lw72x134,3_6       ,m,B6129SF2/J,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,30,3600,1/22/15 12:58:51 PM,2.453766666666667,11.06053333333333,100,1541.712,106,,30,10.889866666666666
lt274f336,3_6       ,m,5XFAD,5XFAD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,9/24/2015 3:55:33 PM,0.9833888888888885,5.028722222222221,100,1119.582,69,,36,1.8897333333333337
lt276f338,3_6       ,m,5XFAD,5XFAD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,9/24/2015 4:34:33 PM,1.4433055555555554,5.34,100,1327.991,60,,36,2.8545000000000003
lt374a436,3_6       ,m,APP/PS1,APP/PS1,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/10/16 12:31:12 PM,1.7165277777777777,7.753944444444447,100,2212.449,68,,36,3.6442352941176472
lw363a425,3_6       ,m,C57BL/6J,APP/PS1,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/29/2016 2:05:48 PM,1.4858611111111115,6.978833333333333,100,1608.767,103,,36,2.9990526315789467
lt89x151,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/30/2015 3:21:33 PM,1.9431388888888894,10.531916666666664,100,1844.899,123,,36,2.8998
lt87x149,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/3/2015 2:23:57 PM,1.9211388888888885,10.714722222222225,100,2605.482,110,,36,3.935235294117647
