AnimalID,Age,Sex,GenoType,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,CORRECT REWARD COLLECTION _1,CORRECT REWARD COLLECTION _2,CORRECT REWARD COLLECTION _3,CORRECT REWARD COLLECTION _4,CORRECT REWARD COLLECTION _5,CORRECT REWARD COLLECTION _6,CORRECT REWARD COLLECTION _7,CORRECT REWARD COLLECTION _8,CORRECT REWARD COLLECTION _9,CORRECT REWARD COLLECTION _10,CORRECT REWARD COLLECTION _11,CORRECT REWARD COLLECTION _12,CORRECT REWARD COLLECTION _13,CORRECT REWARD COLLECTION _14,CORRECT REWARD COLLECTION _15,CORRECT REWARD COLLECTION _16,CORRECT REWARD COLLECTION _17,CORRECT REWARD COLLECTION _18,CORRECT REWARD COLLECTION _19,CORRECT REWARD COLLECTION _20,CORRECT REWARD COLLECTION _21,CORRECT REWARD COLLECTION _22,CORRECT REWARD COLLECTION _23,CORRECT REWARD COLLECTION _24,CORRECT REWARD COLLECTION _25,CORRECT REWARD COLLECTION _26,CORRECT REWARD COLLECTION _27,CORRECT REWARD COLLECTION _28,CORRECT REWARD COLLECTION _29,CORRECT REWARD COLLECTION _30,CORRECT REWARD COLLECTION _31,CORRECT REWARD COLLECTION _32,CORRECT REWARD COLLECTION _33,CORRECT REWARD COLLECTION _34,CORRECT REWARD COLLECTION _35,CORRECT REWARD COLLECTION _36,CORRECT TOUCH LATENCY _1,CORRECT TOUCH LATENCY _2,CORRECT TOUCH LATENCY _3,CORRECT TOUCH LATENCY _4,CORRECT TOUCH LATENCY _5,CORRECT TOUCH LATENCY _6,CORRECT TOUCH LATENCY _7,CORRECT TOUCH LATENCY _8,CORRECT TOUCH LATENCY _9,CORRECT TOUCH LATENCY _10,CORRECT TOUCH LATENCY _11,CORRECT TOUCH LATENCY _12,CORRECT TOUCH LATENCY _13,CORRECT TOUCH LATENCY _14,CORRECT TOUCH LATENCY _15,CORRECT TOUCH LATENCY _16,CORRECT TOUCH LATENCY _17,CORRECT TOUCH LATENCY _18,CORRECT TOUCH LATENCY _19,CORRECT TOUCH LATENCY _20,CORRECT TOUCH LATENCY _21,CORRECT TOUCH LATENCY _22,CORRECT TOUCH LATENCY _23,CORRECT TOUCH LATENCY _24,CORRECT TOUCH LATENCY _25,CORRECT TOUCH LATENCY _26,CORRECT TOUCH LATENCY _27,CORRECT TOUCH LATENCY _28,CORRECT TOUCH LATENCY _29,CORRECT TOUCH LATENCY _30,CORRECT TOUCH LATENCY _31,CORRECT TOUCH LATENCY _32,CORRECT TOUCH LATENCY _33,CORRECT TOUCH LATENCY _34,CORRECT TOUCH LATENCY _35,CORRECT TOUCH LATENCY _36,END SUMMARY - % CORRECT _1,END SUMMARY - CONDITION _1,END SUMMARY - INCORRECT TOUCHES _1,END SUMMARY - TRIALS COMPLETED _1,INCORRECT TOUCH LATENCY _1,INCORRECT TOUCH LATENCY _2,INCORRECT TOUCH LATENCY _3,INCORRECT TOUCH LATENCY _4,INCORRECT TOUCH LATENCY _5,INCORRECT TOUCH LATENCY _6,INCORRECT TOUCH LATENCY _7,INCORRECT TOUCH LATENCY _8,INCORRECT TOUCH LATENCY _9,INCORRECT TOUCH LATENCY _10,INCORRECT TOUCH LATENCY _11,INCORRECT TOUCH LATENCY _12,INCORRECT TOUCH LATENCY _13,INCORRECT TOUCH LATENCY _14,INCORRECT TOUCH LATENCY _15,INCORRECT TOUCH LATENCY _16,INCORRECT TOUCH LATENCY _17,INCORRECT TOUCH LATENCY _18,INCORRECT TOUCH LATENCY _19,INCORRECT TOUCH LATENCY _20,INCORRECT TOUCH LATENCY _21,INCORRECT TOUCH LATENCY _22,INCORRECT TOUCH LATENCY _23,CORRECT REWARD COLLECTION _37,END SUMMARY - NO CORRECTION TRIALS _1,INCORRECT TOUCH LATENCY _24
lt80x142,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/25/2015 5:17:12 PM,2.404,1.765,1.476,1.416,2.017,1.149,2.131,1.586,1.282,1.705,1.388,1.209,1.225,1.283,1.249,2.06,2.003,1.711,1.825,1.504,1.195,2.581,1.123,1.607,1.358,1.227,1.221,1.305,1.228,1.143,1.351,1.203,1.262,1.309,1.631,2.236,10.417,11.651,8.315,4.925,26.051,123.661,13.81,10.535,277.013,56.894,2.818,6.206,4.867,29.643,5.533,20.779,2.258,16.135,22.817,6.597,2.673,6.301,2.863,36.764,2.707,69.477,9.57,10.175,5.041,4.701,4.535,10.992,38.872,20.41,10.726,5.056,100,1983.278,357,36,5.21,8.527,3.563,5.954,3.913,2.846,2.121,5.077,3.016,1.611,4.113,3.514,3.61,2.403,5.624,3.696,8.142,,,,,,,,,
lt81x143,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/10/2015 3:03:29 PM,3.673,1.14,1.176,1.735,1.238,1.647,2.844,2.076,1.462,1.215,1.504,1.387,1.621,1.666,1.234,1.12,1.162,1.947,1.311,1.412,0.949,1.187,1.467,1.343,1.312,1.341,1.252,0.849,1.277,1.156,1.424,0.984,1.133,1.109,1.204,1.819,33.953,4.179,20.049,6.347,2.119,4.257,7.972,2.332,8.72,3.919,5.357,4.572,5.302,2.953,4.256,4.083,7.167,6.79,71.746,4.294,4.067,7.511,6.838,3.156,4.458,1.692,1.995,12.136,4.218,26.632,6.204,4.409,4.148,3.766,8.589,0.951,100,2290.309,69,36,11.457,9.18,3.583,3.796,3.895,3.232,3.715,3.584,2.327,4.947,3.471,9.255,6.229,3.362,1.565,4.12,7.571,,,,,,,,,
lt82x144,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/2/2015 2:19:30 PM,1.849,1.411,1.956,1.446,1.386,1.618,1.77,1.181,1.288,1.829,1.54,1.526,1.546,1.348,1.099,1.299,1.395,1.38,1.164,1.108,1.534,1.452,1.004,1.127,1.1,1.169,1.606,1.233,0.96,1.338,0.928,1.102,1.345,2.98,1.401,6.656,4.672,9.392,3.463,3.262,11.491,14.365,4.939,5.377,4.667,14.018,3.054,7.874,5.917,3.926,3.018,7.678,3.311,4.68,5.659,8.283,3.317,3.668,12.779,10.764,18.359,3.414,8.173,7.143,6.879,7.977,21.425,17.885,4.814,22.275,26.743,14.791,100,1732.56,84,36,1.462,6.446,3.834,3.713,4.542,3.331,2.133,1.277,4.1,3.43,4.733,7.036,5.706,3.08,5.279,4.834,4.219,8.576,5.608,,,,,,,
lt83x145,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/2/15 2:19:35 PM,2.618,1.81,3.14,2.251,1.932,4.894,2.04,3.646,2.457,1.554,3.488,1.773,1.952,2.317,1.796,2.069,3.568,1.608,4.741,4.522,2.298,1.688,2.661,2.094,2.339,2.461,4.954,4.389,1.689,1.964,1.669,1.618,3.082,2.108,1.487,2.183,12.483,22.477,6.774,7.756,13.161,30.348,18.304,9.862,4.616,1.481,15.129,1.986,23.891,1.372,42.147,37.519,33.243,22.012,22.989,1.73,7.093,3.952,20.706,1.496,5.907,2.936,12.335,47.318,1.304,4.771,1.027,9.53,1.533,9.66,8.553,6.272,100,2169.27,156,36,1.573,1.452,1.347,2.082,1.511,4.965,6.795,2.793,22.306,15.322,5.309,1.793,12.829,1.863,5.129,1.404,8.898,6.084,1.803,3.864,3.866,,,,,
lt84x146,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/27/15 1:47:47 PM,1.233,1.398,1.532,1.272,2.309,1.61,1.513,1.493,1.399,1.397,1.956,1.13,1.217,1.442,1.47,3.934,1.367,1.679,1.153,1.606,1.339,1.183,1.27,1.313,1.296,1.206,1.134,1.521,1.287,1.419,1.169,1.08,1.173,1.139,5.751,1.192,14.945,7.321,7.024,12.781,8.086,11.667,3.917,9.948,4.69,5.769,8.119,35.1,3.593,10.714,12.843,2.552,3.265,3.766,3.711,2.77,7.388,7.847,3.707,14.803,4.496,9.56,3.048,1.678,14.98,8.814,7.325,5.437,6.276,3.417,13.278,12.488,100,1733.884,79,36,9.291,2.336,1.613,2.111,7.656,5.669,1.15,5.927,7.753,7.766,5.238,6.331,5.887,4.65,4.948,3.99,2.234,2.008,3.07,,,,,,,
lt85x147,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/27/15 1:47:49 PM,1.731,1.57,1.558,1.237,1.385,1.259,1.232,1.109,1.105,2.176,1.777,1.447,1.27,1.321,1.583,1.437,1.233,1.556,1.203,1.683,1.087,2.117,1.258,1.358,1.096,0.92,1.226,1.452,1.28,1.027,1.118,1.243,1.171,2.889,,,5.394,4.628,6.117,7.089,6.244,3.65,1.693,3.593,10.984,15.104,2.837,7.386,4.771,4.576,24.067,1.772,4.161,8.113,1.808,8.962,5.676,11.284,5.001,1.219,2.199,9.958,17.396,4.522,9.428,3.696,1.274,4.008,9.854,11.731,,,100,3600,69,33,1.895,3.299,4.09,2.714,6.666,2.961,1.513,3.807,4.96,7.731,1.52,1.915,4.716,4.772,2.992,,,,,,,,,,,
lt86x148,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/3/15 2:11:58 PM,1.422,1.614,1.226,1.254,1.084,1.175,1.122,1.544,1.114,1.34,1.094,1.432,0.982,1.317,1.224,1.652,12.862,1.127,1.194,1.12,0.998,1.098,19.424,1.124,1.069,0.996,1.044,1.084,1.06,1.015,1.204,1.2,1.081,1.076,1.461,1.334,11.405,6.173,4.309,5.581,2.532,9.364,10.47,8.311,6.414,9.788,9.112,1.948,4.388,29.772,6.878,5.303,6.079,27.774,12.623,11.058,5.353,3.522,17.457,4.508,13.883,7.733,6.121,9.436,3.265,6.342,7.561,22.795,8.309,15.193,4.526,9.494,100,2278.383,80,36,1.828,3.854,3.056,5.38,3.915,4.291,1.711,2.191,2.997,3.586,10.536,6.46,7.721,2.933,5.26,4.093,5.21,7.97,4.255,5.365,,,,,,
lt87x149,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,2/3/2015 2:23:57 PM,4.887,7.872,2.034,1.624,1.614,1.672,1.813,2.016,1.478,2.211,2.249,2.41,2.132,1.622,1.546,1.305,2.141,1.538,1.777,1.522,1.604,1.695,1.439,1.829,1.584,1.489,1.531,1.27,1.401,1.438,1.675,1.318,1.474,1.405,1.356,1.19,26.274,11.276,8.108,10.471,8.142,3.719,3.571,1.955,6.589,4.233,39.174,5.205,5.494,8.163,3.011,6.026,5.177,6.124,4.906,1.918,5.923,1.579,4.071,2.251,15.793,129.638,3.626,5.848,1.595,5.94,7.673,2.711,3.073,5.628,17.196,3.649,100,2605.482,110,36,5.731,3.632,1.602,5.062,1.498,4.633,2.838,4.056,2.042,1.562,2.183,5.852,11.989,3.82,3.211,3.97,3.218,,,,,,,,,
lt88x150,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/25/2015 5:18:59 PM,1.459,1.186,1.363,1.871,1.346,2.144,4.586,5.055,1.571,1.774,2.206,1.418,1.202,1.455,1.242,1.588,1.229,1.869,1.473,1.31,1.582,1.224,1.332,2.167,1.217,1.694,1.507,2.676,1.758,1.273,1.048,1.723,1.387,3,1.182,1.299,6.735,5.979,6.815,7.7,29.004,31.015,68.027,18.284,23.893,63.565,8.889,7.576,10.377,9.262,6.601,7.646,5.241,11.491,6.942,15.007,2.028,16.503,11.241,3.962,31.397,16.619,3.63,24.66,9.432,14.82,5.358,3.963,10.448,1.734,3.415,2.755,100,1654.996,123,36,8.172,4.326,1.931,14.821,18.543,14.804,8.581,3.895,4.594,4.074,2.765,9.885,10.176,1.875,13.103,1.752,3.042,,,,,,,,,
lt89x151,3_6       ,m,3xTG-AD,3xTG-AD,FB_AD_PAL ,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Flavio-Beraldo,PAL-Acquisition,<img src ="../assets/task_images/8000x600-flower-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-plane-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>;<img src ="../assets/task_images/800x600-spider-240x240.bmp" width='30' height='30' style='margin-top:15px;'/>,,PAL Aquisition,Mouse dPAL acquisition 1 v3,36,3600,1/30/2015 3:21:33 PM,2.701,1.852,1.646,1.611,1.974,1.395,1.411,1.431,1.38,2.611,1.281,1.361,1.949,1.592,1.729,1.45,1.724,2.135,1.542,11.459,1.529,1.358,1.374,1.211,1.545,1.278,1.462,2.363,1.325,1.453,2.308,2.043,1.991,1.26,1.953,1.266,5.182,4.439,6.08,1.451,10.984,10.841,2.999,13.288,1.896,8.37,1.201,12.094,6.693,5.472,2.538,3.129,56.351,8.745,8.737,21.045,1.592,4.863,33.747,1.444,4.331,2.134,2.932,17.363,2.549,1.75,1.556,5.476,74.844,23.035,8.292,1.706,100,1844.899,123,36,3.083,2.604,1.241,5.91,2.172,1.757,1.223,1.094,11.623,2.097,2.021,1.069,1.628,1.349,1.613,2.708,3.489,4.395,3.158,3.762,,,,,,
